control_id,variant_id,variant,family,nist_title,vocab_pattern,ml_reason,mlassure_pattern,collectors,control_text,meaning_preserved,notes
AU-12(1),AU-12(1).v0,0,AU,Audit Record Generation | System-wide and Time-correlated Audit Trail,specific,Registry timestamps and CloudTrail event times can be compiled into a time-correlated trail of approval versus deploy.,correlation,getCloudTrailEvents|getModelRegistryEntry,Compile audit records from [Assignment: organization-defined system components] into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-12(1),AU-12(1).v1,1,AU,Audit Record Generation | System-wide and Time-correlated Audit Trail,specific,Registry timestamps and CloudTrail event times can be compiled into a time-correlated trail of approval versus deploy.,correlation,getCloudTrailEvents|getModelRegistryEntry,Gather audit records from [Assignment: organization-defined system components] into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,,
AU-12(1),AU-12(1).v2,2,AU,Audit Record Generation | System-wide and Time-correlated Audit Trail,specific,Registry timestamps and CloudTrail event times can be compiled into a time-correlated trail of approval versus deploy.,correlation,getCloudTrailEvents|getModelRegistryEntry,Audit records from [Assignment: organization-defined system components] are compiled into a system-wide (logical or physical) audit trail time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,,
AU-12(1),AU-12(1).v3,3,AU,Audit Record Generation | System-wide and Time-correlated Audit Trail,specific,Registry timestamps and CloudTrail event times can be compiled into a time-correlated trail of approval versus deploy.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Compile, from [Assignment: organization-defined system components], audit records into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].",,
AU-12(1),AU-12(1).v4,4,AU,Audit Record Generation | System-wide and Time-correlated Audit Trail,specific,Registry timestamps and CloudTrail event times can be compiled into a time-correlated trail of approval versus deploy.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Form a system-wide (logical or physical) audit trail by compiling audit records from [Assignment: organization-defined system components], time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].",,
CM-2,CM-2.v0,0,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and b. Review and update the baseline configuration of the system: 1. [Assignment: organization-defined frequency]; 2. When required due to [Assignment: organization-defined circumstances]; and 3. When system components are installed or upgraded.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-2,CM-2.v1,1,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Develop, document, and keep under configuration control a current baseline configuration of the system; and b. Review and update the baseline configuration of the system: 1. [Assignment: organization-defined frequency]; 2. When required due to [Assignment: organization-defined circumstances]; and 3. When system components are installed or upgraded.",,
CM-2,CM-2.v2,2,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. A current baseline configuration of the system is developed, documented, and maintained under configuration control; and b. The baseline configuration of the system is reviewed and updated: 1. [Assignment: organization-defined frequency]; 2. When required due to [Assignment: organization-defined circumstances]; and 3. When system components are installed or upgraded.",,
CM-2,CM-2.v3,3,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Develop, document, and maintain a current system baseline configuration under configuration control; and b. Review and update that baseline configuration: 1. [Assignment: organization-defined frequency]; 2. When required due to [Assignment: organization-defined circumstances]; and 3. When system components are installed or upgraded.",,
CM-2,CM-2.v4,4,CM,Baseline Configuration,mixed,The registry package version plus endpoint configuration are the fixture's current baseline of what is deployed.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Under configuration control, develop, document, and maintain a current baseline configuration of the system; and b. Review and update the system's baseline configuration: 1. [Assignment: organization-defined frequency]; 2. When required due to [Assignment: organization-defined circumstances]; and 3. When system components are installed or upgraded.",,
CM-3,CM-3.v0,0,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,a. Determine and document the types of changes to the system that are configuration-controlled; b. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses; c. Document configuration change decisions associated with the system; d. Implement approved configuration-controlled changes to the system; e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period]; f. Monitor and review activities associated with configuration-controlled changes to the system; and g. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-3,CM-3.v1,1,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,a. Determine and document which types of changes to the system are configuration-controlled; b. Review proposed configuration-controlled changes to the system and approve or disapprove those changes with explicit consideration for security and privacy impact analyses; c. Document configuration change decisions associated with the system; d. Implement approved configuration-controlled changes to the system; e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period]; f. Monitor and review activities associated with configuration-controlled changes to the system; and g. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].,,
CM-3,CM-3.v2,2,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Identify and document the types of system changes that are configuration-controlled; b. Review proposed configuration-controlled changes to the system and, with explicit consideration for security and privacy impact analyses, approve or disapprove such changes; c. Record configuration change decisions associated with the system; d. Put approved configuration-controlled changes to the system into effect; e. Keep records of configuration-controlled changes to the system for [Assignment: organization-defined time period]; f. Monitor and review activities associated with configuration-controlled changes to the system; and g. Coordinate and oversee configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",,
CM-3,CM-3.v3,3,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Determine and document the types of changes to the system that are configuration-controlled; b. With explicit consideration for security and privacy impact analyses, review proposed configuration-controlled changes to the system and approve or disapprove such changes; c. Document the system's associated configuration change decisions; d. Implement approved configuration-controlled changes to the system; e. For [Assignment: organization-defined time period], retain records of configuration-controlled changes to the system; f. Monitor and review activities associated with configuration-controlled changes to the system; and g. Through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]], coordinate and provide oversight for configuration change control activities.",,
CM-3,CM-3.v4,4,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,a. Determine and document the types of changes to the system that are configuration-controlled; b. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses; c. Document configuration change decisions associated with the system; d. Implement the approved configuration-controlled changes to the system; e. Retain records of the system's configuration-controlled changes for [Assignment: organization-defined time period]; f. Review and monitor activities associated with configuration-controlled changes to the system; and g. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].,,
CM-3(1),CM-3(1).v0,0,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Use [Assignment: organization-defined automated mechanisms] to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-3(1),CM-3(1).v1,1,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Employ [Assignment: organization-defined automated mechanisms] to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,,
CM-3(1),CM-3(1).v2,2,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Using [Assignment: organization-defined automated mechanisms]: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed system changes and request change approval; (c) Highlight proposed system changes not approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved system changes are completed.,,
CM-3(1),CM-3(1).v3,3,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Use [Assignment: organization-defined automated mechanisms] so as to: (a) Document proposed changes to the system; (b) Inform [Assignment: organization-defined approval authorities] of proposed changes to the system and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Bar changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Inform [Assignment: organization-defined personnel] when approved changes to the system are completed.,,
CM-3(1),CM-3(1).v4,4,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,[Assignment: organization-defined automated mechanisms] are used to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,,
CM-3(2),CM-3(2).v0,0,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Test, validate, and document changes to the system before finalizing the implementation of the changes.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-3(2),CM-3(2).v1,1,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Before finalizing the implementation of changes to the system, test, validate, and document those changes.",,
CM-3(2),CM-3(2).v2,2,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"System changes are tested, validated, and documented before finalizing the implementation of the changes.",,
CM-3(2),CM-3(2).v3,3,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Do not finalize implementation of changes to the system until the changes have been tested, validated, and documented.",,
CM-3(2),CM-3(2).v4,4,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"Testing, validation, and documentation of changes to the system occur before the implementation of those changes is finalized.",,
CM-6,CM-6.v0,0,CM,Configuration Settings,mixed,"Endpoint, network isolation, and KMS settings are the fixture's implemented configuration of the running model service.",synthesis,getEndpointConfig|getEndpointNetworkConfig|getKMSConfig,"a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations]; b. Implement the configuration settings; c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-6,CM-6.v1,1,CM,Configuration Settings,mixed,"Endpoint, network isolation, and KMS settings are the fixture's implemented configuration of the running model service.",synthesis,getEndpointConfig|getEndpointNetworkConfig|getKMSConfig,"a. Establish and document configuration settings for components employed within the system, reflecting the most restrictive mode consistent with operational requirements, using [Assignment: organization-defined common secure configurations]; b. Implement the configuration settings; c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.",,
CM-6,CM-6.v2,2,CM,Configuration Settings,mixed,"Endpoint, network isolation, and KMS settings are the fixture's implemented configuration of the running model service.",synthesis,getEndpointConfig|getEndpointNetworkConfig|getKMSConfig,"a. Using [Assignment: organization-defined common secure configurations], establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements; b. Put the configuration settings into effect; c. Identify, document, and approve deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and d. In accordance with organizational policies and procedures, monitor and control changes to the configuration settings.",,
CM-6,CM-6.v3,3,CM,Configuration Settings,mixed,"Endpoint, network isolation, and KMS settings are the fixture's implemented configuration of the running model service.",synthesis,getEndpointConfig|getEndpointNetworkConfig|getKMSConfig,"a. Establish and document, for components employed within the system, configuration settings that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations]; b. Implement those configuration settings; c. Based on [Assignment: organization-defined operational requirements], identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components]; and d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.",,
CM-6,CM-6.v4,4,CM,Configuration Settings,mixed,"Endpoint, network isolation, and KMS settings are the fixture's implemented configuration of the running model service.",synthesis,getEndpointConfig|getEndpointNetworkConfig|getKMSConfig,"a. Configuration settings for components employed within the system are established and documented to reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations]; b. The configuration settings are implemented; c. Any deviations from established configuration settings for [Assignment: organization-defined system components] are identified, documented, and approved based on [Assignment: organization-defined operational requirements]; and d. Changes to the configuration settings are monitored and controlled in accordance with organizational policies and procedures.",,
CM-7(1),CM-7(1).v0,0,CM,Least Functionality | Periodic Review,mixed,"Instance type, broad IAM actions, and absent VPC/isolation are the fixture's running functions, services, and network posture to review as unnecessary or nonsecure.",synthesis,getEndpointConfig|getEndpointExecutionRole|getEndpointNetworkConfig,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-7(1),CM-7(1).v1,1,CM,Least Functionality | Periodic Review,mixed,"Instance type, broad IAM actions, and absent VPC/isolation are the fixture's running functions, services, and network posture to review as unnecessary or nonsecure.",synthesis,getEndpointConfig|getEndpointExecutionRole|getEndpointNetworkConfig,"(a) At [Assignment: organization-defined frequency], review the system to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",,
CM-7(1),CM-7(1).v2,2,CM,Least Functionality | Periodic Review,mixed,"Instance type, broad IAM actions, and absent VPC/isolation are the fixture's running functions, services, and network posture to review as unnecessary or nonsecure.",synthesis,getEndpointConfig|getEndpointExecutionRole|getEndpointNetworkConfig,"(a) Review the system [Assignment: organization-defined frequency] in order to identify functions, ports, protocols, software, and services that are unnecessary and/or nonsecure; and (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",,
CM-7(1),CM-7(1).v3,3,CM,Least Functionality | Periodic Review,mixed,"Instance type, broad IAM actions, and absent VPC/isolation are the fixture's running functions, services, and network posture to review as unnecessary or nonsecure.",synthesis,getEndpointConfig|getEndpointExecutionRole|getEndpointNetworkConfig,"(a) Identify unnecessary and/or nonsecure functions, ports, protocols, software, and services by reviewing the system [Assignment: organization-defined frequency]; and (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",,
CM-7(1),CM-7(1).v4,4,CM,Least Functionality | Periodic Review,mixed,"Instance type, broad IAM actions, and absent VPC/isolation are the fixture's running functions, services, and network posture to review as unnecessary or nonsecure.",synthesis,getEndpointConfig|getEndpointExecutionRole|getEndpointNetworkConfig,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure] are disabled or removed.",,
CM-8,CM-8.v0,0,CM,System Component Inventory,mixed,Registry package identity and the named endpoint/instance are the fixture's inventory of this model's deployed components.,synthesis,getModelRegistryEntry|getEndpointConfig,a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and b. Review and update the system component inventory [Assignment: organization-defined frequency].,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-8,CM-8.v1,1,CM,System Component Inventory,mixed,Registry package identity and the named endpoint/instance are the fixture's inventory of this model's deployed components.,synthesis,getModelRegistryEntry|getEndpointConfig,a. Develop and document a system-component inventory that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and b. Review and update the system component inventory [Assignment: organization-defined frequency].,,
CM-8,CM-8.v2,2,CM,System Component Inventory,mixed,Registry package identity and the named endpoint/instance are the fixture's inventory of this model's deployed components.,synthesis,getModelRegistryEntry|getEndpointConfig,"a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or of components assigned to any other system; 4. Uses the granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and b. At [Assignment: organization-defined frequency], review and update the system component inventory.",,
CM-8,CM-8.v3,3,CM,System Component Inventory,mixed,Registry package identity and the named endpoint/instance are the fixture's inventory of this model's deployed components.,synthesis,getModelRegistryEntry|getEndpointConfig,a. An inventory of system components is developed and documented that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and b. The system component inventory is reviewed and updated [Assignment: organization-defined frequency].,,
CM-8,CM-8.v4,4,CM,System Component Inventory,mixed,Registry package identity and the named endpoint/instance are the fixture's inventory of this model's deployed components.,synthesis,getModelRegistryEntry|getEndpointConfig,a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Contains the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and b. Review and update the system component inventory [Assignment: organization-defined frequency].,,
CM-8(1),CM-8(1).v0,0,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"Update the inventory of system components as part of component installations, removals, and system updates.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
CM-8(1),CM-8(1).v1,1,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"As part of component installations, removals, and system updates, update the inventory of system components.",,
CM-8(1),CM-8(1).v2,2,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"The inventory of system components is updated as part of component installations, removals, and system updates.",,
CM-8(1),CM-8(1).v3,3,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"When components are installed or removed and when the system is updated, update the inventory of system components.",,
CM-8(1),CM-8(1).v4,4,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"Component installations, removals, and system updates include updating the inventory of system components.",,
RA-3,RA-3.v0,0,RA,Risk Assessment,specific,"getModelCard is the only collector that could return a documented risk assessment for this model; the frozen fixture returns null, which the LLM can treat as absence or as a gap.",sufficiency,getModelCard,"a. Conduct a risk assessment, including: 1. Identifying threats to and vulnerabilities in the system; 2. Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information; b. Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments; c. Document risk assessment results in [Selection: security and privacy plans; risk assessment report; [Assignment: organization-defined document]]; d. Review risk assessment results [Assignment: organization-defined frequency]; e. Disseminate risk assessment results to [Assignment: organization-defined personnel or roles]; and f. Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
RA-3,RA-3.v1,1,RA,Risk Assessment,specific,"getModelCard is the only collector that could return a documented risk assessment for this model; the frozen fixture returns null, which the LLM can treat as absence or as a gap.",sufficiency,getModelCard,"a. Conduct a risk assessment, including: 1. Identifying threats to and vulnerabilities in the system; 2. Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information; b. Integrate, with system-level risk assessments, risk assessment results and risk management decisions from the organization and mission or business process perspectives; c. Document risk assessment results in [Selection: security and privacy plans; risk assessment report; [Assignment: organization-defined document]]; d. Review risk assessment results [Assignment: organization-defined frequency]; e. Disseminate risk assessment results to [Assignment: organization-defined personnel or roles]; and f. Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",,
RA-3,RA-3.v2,2,RA,Risk Assessment,specific,"getModelCard is the only collector that could return a documented risk assessment for this model; the frozen fixture returns null, which the LLM can treat as absence or as a gap.",sufficiency,getModelCard,"a. Perform a risk assessment that includes: 1. Identifying threats to and vulnerabilities in the system; 2. Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information; b. Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments; c. Record risk assessment results in [Selection: security and privacy plans; risk assessment report; [Assignment: organization-defined document]]; d. Review risk assessment results [Assignment: organization-defined frequency]; e. Disseminate risk assessment results to [Assignment: organization-defined personnel or roles]; and f. Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",,
RA-3,RA-3.v3,3,RA,Risk Assessment,specific,"getModelCard is the only collector that could return a documented risk assessment for this model; the frozen fixture returns null, which the LLM can treat as absence or as a gap.",sufficiency,getModelCard,"a. Conduct a risk assessment, including: 1. Identifying system threats and vulnerabilities; 2. Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information; b. Combine system-level risk assessments with risk assessment results and risk management decisions from the organization and mission or business process perspectives; c. Document risk assessment results in [Selection: security and privacy plans; risk assessment report; [Assignment: organization-defined document]]; d. At [Assignment: organization-defined frequency], review risk assessment results; e. Provide risk assessment results to [Assignment: organization-defined personnel or roles]; and f. Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",,
RA-3,RA-3.v4,4,RA,Risk Assessment,specific,"getModelCard is the only collector that could return a documented risk assessment for this model; the frozen fixture returns null, which the LLM can treat as absence or as a gap.",sufficiency,getModelCard,"a. Conduct a risk assessment, including: 1. Identifying threats to and vulnerabilities in the system; 2. Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and 3. Determining the likelihood and impact of adverse effects on individuals arising from processing of personally identifiable information; b. Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments; c. Document the results of the risk assessment in [Selection: security and privacy plans; risk assessment report; [Assignment: organization-defined document]]; d. Review the risk assessment results [Assignment: organization-defined frequency]; e. Disseminate the risk assessment results to [Assignment: organization-defined personnel or roles]; and f. Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",,
